상품명,조사일,판매가격,판매업소,제조사,세일여부,원플러스원
머거본 알땅콩(135g),2024-05-03,2500,세븐일레븐(본사),머거본,N,N
머거본 알땅콩(135g),2024-05-03,2700,신세계백화점죽전점,머거본,,
머거본 알땅콩(135g),2024-05-03,4900,CU(본사),머거본,,
허니버터아몬드(190g),2024-05-03,7990,이마트월배점,바프,,
허니버터아몬드(190g),2024-05-03,7990,이마트여수점,바프,,
허니버터아몬드(190g),2024-05-03,7990,이마트울산점,바프,,
허니버터아몬드(190g),2024-05-03,7990,이마트춘천점,바프,,
허니버터아몬드(190g),2024-05-03,6300,세븐일레븐(본사),바프,N,N
허니버터아몬드(190g),2024-05-03,7990,이마트부천점,바프,,
허니버터아몬드(190g),2024-05-03,7990,이마트동인천점,바프,,
